,payment_period,annual_salary
ACC-1037050564,7 days,46516.121
ACC-1199531521,14 days,98700.693
ACC-1222300524,7 days,52253.921
ACC-1243371644,14 days,43841.193
ACC-1279356312,14 days,75277.079
ACC-1334819143,14 days,70875.439
ACC-1344825761,14 days,64408.161
ACC-1349834573,14 days,80069.007
ACC-1424176027,14 days,50291.004
ACC-1438600314,7 days,44996.679
ACC-1443681913,7 days,51946.8
ACC-1496451953,7 days,134946.236
ACC-1516130869,14 days,60137.139
ACC-154431271,14 days,40089.514
ACC-1598451071,7 days,52855.65
ACC-1608363396,14 days,60493.536
ACC-1650504218,7 days,84809.314
ACC-1652235822,14 days,40179.2
ACC-1710017148,14 days,103698.064
ACC-1788473090,14 days,52760.229
ACC-1799207998,7 days,72764.836
ACC-182446574,14 days,74046.768
ACC-1890605467,14 days,95147.939
ACC-1973887809,7 days,57300.307
ACC-1990648130,7 days,54075.793
ACC-1998563091,14 days,45828.618
ACC-2014856841,14 days,56834.671
ACC-2107684084,14 days,57845.461
ACC-2171593283,14 days,68822.314
ACC-2173390920,7 days,72803.421
ACC-2231965366,7 days,127397.514
ACC-2249586092,7 days,51650.107
ACC-2259139624,14 days,95863.079
ACC-2265520058,14 days,48053.293
ACC-2305712452,7 days,39697.921
ACC-240804743,14 days,114852.464
ACC-2528867619,7 days,101499.721
ACC-2615038700,7 days,34645.279
ACC-2650850707,14 days,84243.564
ACC-2674800293,14 days,37464.121
ACC-2681137560,14 days,75255.7
ACC-2776252858,7 days,55690.657
ACC-2828321672,7 days,50603.079
ACC-2890243754,7 days,47838.464
ACC-2897221629,7 days,51241.307
ACC-2901672282,14 days,86785.789
ACC-2920611728,7 days,54391.257
ACC-2988263882,7 days,31094.35
ACC-3021093232,7 days,85343.257
ACC-3084464802,14 days,64797.146
ACC-3100725361,30 days,74304.632
ACC-3233697971,7 days,89236.764
ACC-3317636250,7 days,132691.057
ACC-3326339947,7 days,51275.2
ACC-3481401842,7 days,63892.207
ACC-3485804958,14 days,101775.818
ACC-3536132544,14 days,54789.368
ACC-3541460373,14 days,36710.657
ACC-3689607373,7 days,59379.764
ACC-3741880913,14 days,59504.386
ACC-37709441,14 days,107733.139
ACC-3771436525,7 days,57341.5
ACC-3827517394,14 days,105713.646
ACC-3879258709,14 days,109918.186
ACC-3881031190,7 days,47801.964
ACC-38923874,7 days,98078.107
ACC-3941181087,14 days,70076.089
ACC-3954677887,7 days,66350.221
ACC-4059612845,14 days,69020.979
ACC-4065652575,14 days,93300.518
ACC-4163822186,7 days,48008.45
ACC-4258502723,7 days,55263.086
ACC-4274272854,14 days,42778.782
ACC-4281711154,14 days,45828.879
ACC-53508546,7 days,37820.257
ACC-559365433,7 days,30034.286
ACC-574997646,14 days,50898.989
ACC-588564840,14 days,101781.554
ACC-602667573,7 days,118904.486
ACC-721712940,7 days,40797.614
ACC-80388494,14 days,49966.154
ACC-819621312,7 days,60389.25
ACC-847145727,14 days,74427.15
ACC-854938045,14 days,66187.014
ACC-90814749,14 days,60190.325
ACC-958000567,14 days,91709.118
ACC-964839203,7 days,81353.286
ACC-966140392,14 days,67079.439
ACC-1056639002,14 days,81700.97
ACC-1217063613,30 days,59174.043333333335
ACC-1523339231,0 days,116340.40333333334
ACC-1683215619,0 days,60833.33333333333
ACC-1903037542,14 days,48057.61714285714
ACC-211792489,61 days,29874.641666666666
ACC-2153562714,30 days,45169.479999999996
ACC-2270192619,0 days,39854.84166666666
ACC-2673069055,31 days,73297.96166666666
ACC-2970114956,14 days,36668.91714285714
ACC-354106658,0 days,119081.90000000002
ACC-414431115,14 days,41071.83428571428
